"","INE","average_age"
"1","01001",38.827597955707
"2","01002",44.4535268901013
"3","01003",45.1636615811373
"4","01004",42.5338888888889
"5","01006",43
"6","01008",45.2743902439024
"7","01009",44.9143561306223
"8","01010",42.6293800539084
"9","01011",48.4319727891156
"10","01013",45.6935300794552
"11","01014",47.0172786177106
"12","01016",50.6153846153846
"13","01017",46.4148936170213
"14","01018",45.483704974271
"15","01019",48.1292134831461
"16","01020",49.3818181818182
"17","01021",42.2417763157895
"18","01022",44.5904095904096
"19","01023",48.0454545454545
"20","01027",45.4454887218045
"21","01028",42.560316413975
"22","01030",55.0493827160494
"23","01031",45.4834938101788
"24","01032",44.1043723554302
"25","01033",44.0867052023121
"26","01034",46.8815165876777
"27","01036",46.8846451043161
"28","01037",46.7353342428377
"29","01039",49.9194312796209
"30","01041",46.3144329896907
"31","01042",41.9634247714048
"32","01043",39.8513196480938
"33","01044",49.0610687022901
"34","01046",45.9680306905371
"35","01047",41.293564714389
"36","01049",51.4697986577181
"37","01051",40.974593092497
"38","01052",51.8857142857143
"39","01053",48.5892351274788
"40","01054",40.5772005772006
"41","01055",51.6135902636917
"42","01056",58.8899082568807
"43","01057",49.970802919708
"44","01058",42.807391983342
"45","01059",43.8508283595017
"46","01060",46.4259259259259
"47","01061",44.4648648648649
"48","01062",46.09375
"49","01063",45.1173913043478
"50","01901",39.5034403669725
"51","01902",49.2405929304447
"52","02001",51.431011826544
"53","02002",51.7193675889328
"54","02003",41.6062087004405
"55","02004",50.6362297496318
"56","02005",49.7454819277108
"57","02006",48.9659969088099
"58","02007",50.5904522613065
"59","02008",46.570996978852
"60","02009",43.5471420994655
"61","02010",45.2056612118532
"62","02011",58.3705583756345
"63","02012",42.386334336055
"64","02013",56.1145038167939
"65","02014",50.1792929292929
"66","02015",43.1712062256809
"67","02016",49.5924006908463
"68","02017",58.0359355638166
"69","02018",46.6132167152575
"70","02019",47.0047741461623
"71","02020",53.5111111111111
"72","02021",44.9336349924585
"73","02022",56.75
"74","02023",54.9076376554174
"75","02024",43.512764084507
"76","02025",42.4865567216392
"77","02026",43.7931323283082
"78","02027",50.032154340836
"79","02028",57.7203389830508
"80","02029",42.0760998810939
"81","02030",45.3298295454545
"82","02031",49.4069952305246
"83","02032",54.7044673539519
"84","02033",43.949070331447
"85","02034",45.2752594210814
"86","02035",41.3076923076923
"87","02036",57.969387755102
"88","02037",41.7058278145695
"89","02038",47.6304347826087
"90","02039",48.2008810572687
"91","02040",49.231746031746
"92","02041",55.6198830409357
"93","02042",51.2937219730942
"94","02043",50.3348348348348
"95","02044",51.7826086956522
"96","02045",44.1780319378507
"97","02046",44.9331864904552
"98","02047",61.875
"99","02048",48.6149152542373
"100","02049",54.7527675276753
"101","02050",55.4318181818182
"102","02051",46.514943655071
"103","02052",46.8529411764706
"104","02053",46.1044036162146
"105","02054",46.6276391554702
"106","02055",50.1901528013582
"107","02056",47.2343117408907
"108","02057",47.4893899204244
"109","02058",54.5288753799392
"110","02059",54.3933933933934
"111","02060",50.9827833572453
"112","02061",52.4214390602056
"113","02062",53.2123456790123
"114","02063",49.7859384808537
"115","02064",54.2524509803922
"116","02065",51.9936034115139
"117","02066",56.7099567099567
"118","02067",46.8240119313945
"119","02068",48.2154255319149
"120","02069",42.104785212855
"121","02070",50.9382978723404
"122","02071",47.4782237403928
"123","02072",48.6451068616423
"124","02073",44.0987554549863
"125","02074",43.9002464651706
"126","02075",46.7060301507538
"127","02076",52.3738601823708
"128","02077",48.6885245901639
"129","02078",47.4092558983666
"130","02079",44.0265356265356
"131","02080",50.770154373928
"132","02081",41.4698200350374
"133","02082",51.8256880733945
"134","02083",56.7545454545455
"135","02084",53.12
"136","02085",52.9300911854103
"137","02086",53.6602907421576
"138","02901",42.9982085274095
"139","03001",53.5957446808511
"140","03002",43.8425114726742
"141","03003",47.1471631205674
"142","03004",45.3975659229209
"143","03005",39.2704826038159
"144","03006",55.5967741935484
"145","03007",49.216814159292
"146","03008",56.0112994350282
"147","03009",44.1150217340028
"148","03010",46.8128078817734
"149","03011",46.1530785350763
"150","03012",48.74528
"151","03013",46.0422322775264
"152","03014",42.7264743008516
"153","03015",39.3974443606186
"154","03016",53.697247706422
"155","03017",41.4259634888438
"156","03018",44.2731625144073
"157","03019",41.1538165737358
"158","03020",51.0703125
"159","03021",43.4963328631876
"160","03022",55.525641025641
"161","03023",45.9502958579882
"162","03024",42.4980680772769
"163","03025",41.3964376590331
"164","03026",43.9796201945345
"165","03027",48.98
"166","03028",51.2292993630573
"167","03029",55.6117381489842
"168","03030",49.5371057513915
"169","03031",44.0182540809084
"170","03032",53.7884615384615
"171","03033",50.3602941176471
"172","03034",48.507136349833
"173","03035",51.7961432506887
"174","03036",45.56
"175","03037",47.7525150905433
"176","03038",51.719696969697
"177","03039",54.2135922330097
"178","03040",52.6596736596737
"179","03041",45.6418320340184
"180","03042",49.4748427672956
"181","03043",43.9778385772914
"182","03044",40.2517006802721
"183","03045",50.378896882494
"184","03046",45.7873170731707
"185","03047",44.6028466089342
"186","03048",42.4308694496145
"187","03049",39.4311705965389
"188","03050",43.9169374351884
"189","03051",45.6330935251799
"190","03052",44.1258278145695
"191","03053",42.9258197113087
"192","03054",53.9405034324943
"193","03055",41.8545740615869
"194","03056",44.2138888888889
"195","03057",53.1340996168582
"196","03058",39.6831844029245
"197","03059",40.8342700433369
"198","03060",55.1949152542373
"199","03061",45.3225620311598
"200","03062",54.0191518467852
"201","03063",43.1073621780652
"202","03064",41.4744389855265
"203","03065",41.5328008859924
