"INE","dist_prov_cap","area_sqkm"
"09298",48.1400243181864,45.6773784569591
"09301",8.22482573232216,13.3599727611271
"09302",64.7616950235035,33.1939995770181
"05105",54.6047944164691,52.8536825289655
"05106",42.9198448835786,11.8557395310565
"05107",34.5868467568409,18.5877996096321
"05108",78.3729640527678,15.0001028594298
"05109",40.744175485255,24.4204177074908
"05114",56.8852981814407,106.6655749671
"05116",57.4117446300853,19.0458490732466
"05117",47.8366060809295,24.0057437997106
"09309",73.0642912652373,26.1225345095387
"09310",32.0042538180885,8.49060520640404
"09311",38.4038832471012,8.52337162061626
"09312",47.2622615164685,15.263077699796
"21071",80.7246967838142,14.8597555357608
"21072",38.1062231347684,218.557648411464
"21073",34.1845796269549,98.2626493229493
"21074",43.507247125283,62.3822388754962
"49184",39.13226632516,36.5258056129503
"49185",45.8432413161604,14.4470289927738
"05118",41.1283018828505,17.5635882639186
"18914",20.8421956438047,5.52831168157226
"18915",35.7764050169211,48.6612532924364
"18916",52.9490177788016,6.47285593911735
"44106",51.4646721486269,168.014702998238
"44107",95.0429986929553,37.8223734889412
"49193",67.705920333774,48.9292198446481
"44108",118.773217610896,39.4290624201305
"44111",39.7596226052577,24.978984668122
"44112",60.4396822673841,36.8616606531875
"44116",69.6804642067985,30.0421869071332
"44123",46.8763259768251,36.4284431260142
"44124",68.4742645066585,43.6741540343612
"44125",75.8757774005923,61.4848500468596
"44126",68.2553781444395,40.4093464579535
"21002",6.63423552894289,33.8070288785788
"21003",47.376858445201,170.156275828469
"21004",61.8224498399248,321.109136605305
"21005",41.0747194415387,859.31082507714
"21006",35.9172746985874,190.967843797315
"21007",76.3430397209016,184.342658917298
"21008",76.4916562791568,497.836505996253
"05119",31.7487182185475,16.9906144615598
"05120",12.5037393839095,6.38602491590889
"05126",54.0046009099563,10.272943886107
"05127",42.7099858262422,47.1634168595529
"21019",65.3598859117861,46.9537273964709
"21026",82.7933237829576,39.9028972821322
"21027",93.2892529179809,13.5425554937081
"21028",89.6913789942194,144.488934052014
"21029",89.6718570368518,121.534090946812
"21030",50.4286186248869,26.035874294223
"21031",96.548240746511,177.566171817102
"21032",56.30057955511,134.835169654032
"21033",76.4147584010358,10.9137593305927
"21038",77.8464227222611,24.4683519927314
"49227",5.13403865025503,10.0640051226322
"49228",25.721481527801,16.2786424927285
"37232",42.0331467312905,35.5831904725452
"49256",52.4004061212264,18.2646355311105
"40099",70.6361896724608,20.7845603930769
"49257",52.6977716300647,19.1565885371244
"49258",16.573148852776,12.023438303443
"42014",27.5825826971382,37.732878165592
"49259",50.8559084327799,16.9435028034382
"42142",30.1570255489921,36.7435439415794
"42145",49.9166568067093,29.9206659172036
"42148",41.5933716264204,38.4447089903635
"40100",43.1076039291593,38.3112945973201
"40101",7.31979933578429,6.12109004678133
"40103",10.2912221479446,17.2516362839264
"40104",26.8756843728374,13.1700410071611
"40105",16.3162693591056,13.8751924306731
"05130",15.3602078988106,15.213656330891
"40106",34.1873826288919,21.5977742987323
"40107",35.0069472367471,20.9359065635896
"09421",81.9173189627235,37.5248718373394
"09422",46.2859793058712,9.72660498771668
"09423",43.7359788313355,6.3374772888892
"09424",50.1785316053401,6.93593787801905
"42152",57.6294541281335,67.2127306620331
"42153",52.5882493393161,24.3549367565268
"42154",9.45838546065001,36.1814393599844
"42167",65.0131939601247,49.0903642998519
"09425",68.7239252834602,33.8454927671503
"21039",88.8521591966617,26.6944442890595
"21040",49.8557734340309,319.750679371548
"21041",2.32437105551227,151.559252708081
"21042",30.1671440784092,50.5579506533857
"09428",73.5157645095285,17.4727788187069
"50268",104.819217011937,42.9216032985898
"50269",28.9732429580206,25.6028394422045
"42216",29.2351263321172,24.2685585444026
"42217",52.5772583779473,16.6245708374988
"42218",40.5702134830379,54.2054627149151
"50272",11.9296059034788,17.6956419972668
"50273",79.9797128846077,7.93906128595308
"50274",83.3089124429704,25.624121281287
"50277",82.5191422438374,3.28693893959683
"42219",60.774640118446,24.9152348460023
"50281",73.4728498405434,2.66924644212516
"53075",NA,3.84817280553807
"50282",81.8486314897927,8.57854405173111
"50283",63.8013992893611,17.1615193607012
"24215",45.4393612936621,39.5644786520383
"21045",72.6994895949222,29.201161379077
"09316",41.0504349560864,27.4202078598834
"09317",47.4117058309482,6.69223677629195
"47001",33.452378002623,16.237636386127
"09093",11.8879388779358,13.4522655785033
"09325",44.0186705845668,50.5364289090951
"05161",22.5277480546434,49.7687855650621
"09326",11.8772820159543,9.75271803824381
"09327",27.2461023690882,39.2309474512819
"09328",48.2061774412651,32.5779317200116
"50292",59.7003384480494,27.0980767911437
"09329",43.6432876396294,13.2791919402543
"50295",54.772930386325,21.7888339019588
"23021",52.0912638613447,58.5664202493039
"23024",62.0153156154864,201.231074775645
"23025",81.877782604994,157.254229084682
"09334",35.6789283341057,22.7941675697125
"23031",24.5360340808237,13.7451751935466
"47002",40.3847986638376,26.9844403656746
"47015",63.5262742066276,38.1724330351805
"47016",47.4134863911085,16.5210527757496
"50296",51.1780560094783,17.2454812198859
"50297",4.82174711217703,972.587674352328
"50298",28.4044537673301,331.758367267577
"44007",37.1995407894961,69.4505099542584
"50902",47.8538783033585,16.9776284245736
"50903",12.3232497284437,89.2306180680832
"33001",72.1027464446952,338.756541740271
"18015",61.7140141422549,22.8221620938159
"33002",34.6480485129388,375.651816391365
"33003",62.2884266769333,114.77046767174
"04001",44.8623120963819,45.2258761877967
"04002",45.6622980689622,83.6434838220907
"04003",52.8295900217628,89.6654748603909
"04004",56.3518504251556,34.8976576016587
